date,year,month,day,weekday,temp_max,temp_min,precipitation,wind_max
2025-01-01,2025,1,1,2,6.4,0.0,0.0,20.3
2025-01-02,2025,1,2,3,10.0,3.7,0.0,21.7
2025-01-03,2025,1,3,4,4.0,-2.1,3.0,15.7
2025-01-04,2025,1,4,5,-0.4,-3.1,1.0,24.3
2025-01-05,2025,1,5,6,-1.1,-6.3,0.0,18.0
2025-01-06,2025,1,6,0,1.5,-4.6,0.6,17.9
2025-01-07,2025,1,7,1,9.3,1.4,0.0,14.8
2025-01-08,2025,1,8,2,6.9,3.0,4.6,14.5
2025-01-09,2025,1,9,3,4.9,0.7,0.5,22.0
2025-01-10,2025,1,10,4,7.4,3.0,3.0,20.4
2025-01-11,2025,1,11,5,1.9,-2.6,6.0,17.4
2025-01-12,2025,1,12,6,0.2,-5.4,0.0,10.8
2025-01-13,2025,1,13,0,-0.1,-6.6,0.0,11.9
2025-01-14,2025,1,14,1,-0.2,-4.7,0.0,19.2
2025-01-15,2025,1,15,2,1.9,-0.8,0.0,15.0
2025-01-16,2025,1,16,3,2.4,-0.3,0.0,16.7
2025-01-17,2025,1,17,4,2.1,0.7,0.9,16.8
2025-01-18,2025,1,18,5,4.7,1.1,0.0,22.9
2025-01-19,2025,1,19,6,4.6,0.4,0.0,20.2
2025-01-20,2025,1,20,0,1.8,-0.6,0.1,17.3
2025-01-21,2025,1,21,1,0.9,-0.8,0.0,12.4
2025-01-22,2025,1,22,2,1.7,-1.1,2.3,13.2
2025-01-23,2025,1,23,3,0.9,-0.2,1.7,12.9
2025-01-24,2025,1,24,4,4.0,-0.4,0.1,8.4
2025-01-25,2025,1,25,5,4.9,1.0,0.0,13.1
2025-01-26,2025,1,26,6,8.4,1.5,0.0,19.0
2025-01-27,2025,1,27,0,7.9,3.8,0.0,16.0
2025-01-28,2025,1,28,1,7.7,4.8,0.0,15.6
2025-01-29,2025,1,29,2,8.5,5.4,0.4,16.1
2025-01-30,2025,1,30,3,10.8,2.1,0.0,12.3
2025-01-31,2025,1,31,4,6.6,2.9,0.6,14.2
2025-02-01,2025,2,1,5,6.2,1.8,0.0,14.9
2025-02-02,2025,2,2,6,1.7,-0.5,0.8,14.6
2025-02-03,2025,2,3,0,0.6,-1.5,1.1,14.2
2025-02-04,2025,2,4,1,0.6,-2.6,0.8,14.4
2025-02-05,2025,2,5,2,-0.4,-4.1,0.3,17.9
2025-02-06,2025,2,6,3,-0.4,-2.3,0.7,13.5
2025-02-07,2025,2,7,4,-1.8,-5.3,0.0,14.2
2025-02-08,2025,2,8,5,-4.6,-6.1,0.0,12.8
2025-02-09,2025,2,9,6,-5.5,-7.4,0.0,7.4
2025-02-10,2025,2,10,0,-4.7,-8.7,0.0,8.6
2025-02-11,2025,2,11,1,-4.2,-7.5,0.0,9.7
2025-02-12,2025,2,12,2,-5.2,-9.9,0.0,6.9
2025-02-13,2025,2,13,3,-0.3,-10.5,0.0,9.0
2025-02-14,2025,2,14,4,2.4,-6.8,3.1,11.3
2025-02-15,2025,2,15,5,-1.9,-7.2,0.8,18.8
2025-02-16,2025,2,16,6,-5.3,-10.2,0.2,11.1
2025-02-17,2025,2,17,0,-5.1,-12.3,0.6,11.5
2025-02-18,2025,2,18,1,-3.7,-12.8,0.0,11.9
2025-02-19,2025,2,19,2,-1.9,-10.9,0.2,13.4
2025-02-20,2025,2,20,3,-4.4,-10.2,0.2,13.8
2025-02-21,2025,2,21,4,-5.0,-11.0,0.0,7.7
2025-02-22,2025,2,22,5,-5.3,-15.6,0.0,5.9
2025-02-23,2025,2,23,6,-1.0,-13.3,0.0,8.7
2025-02-24,2025,2,24,0,0.5,-13.3,0.0,5.8
2025-02-25,2025,2,25,1,-0.4,-12.6,0.0,6.0
2025-02-26,2025,2,26,2,3.6,-9.6,0.0,10.3
2025-02-27,2025,2,27,3,4.4,-5.1,0.0,13.0
2025-02-28,2025,2,28,4,4.6,-2.8,0.0,16.0
2025-03-01,2025,3,1,5,0.6,-1.0,2.0,11.8
2025-03-02,2025,3,2,6,5.7,-1.6,0.1,11.7
2025-03-03,2025,3,3,0,4.0,-0.6,0.1,19.7
2025-03-04,2025,3,4,1,8.5,2.7,0.0,23.0
2025-03-05,2025,3,5,2,10.6,4.7,0.0,22.8
2025-03-06,2025,3,6,3,17.0,7.1,0.0,21.8
2025-03-07,2025,3,7,4,17.7,4.7,0.0,15.5
2025-03-08,2025,3,8,5,16.7,1.1,0.0,9.0
2025-03-09,2025,3,9,6,17.4,2.5,0.0,11.3
2025-03-10,2025,3,10,0,15.4,3.9,0.0,15.1
2025-03-11,2025,3,11,1,19.1,5.5,0.0,20.9
2025-03-12,2025,3,12,2,14.0,7.7,1.5,22.0
2025-03-13,2025,3,13,3,15.7,7.3,3.7,21.6
2025-03-14,2025,3,14,4,14.6,8.6,0.0,19.8
2025-03-15,2025,3,15,5,10.6,0.9,7.3,17.0
2025-03-16,2025,3,16,6,5.2,0.1,0.3,12.5
2025-03-17,2025,3,17,0,6.1,-2.4,0.9,20.5
2025-03-18,2025,3,18,1,3.4,-3.7,0.0,20.3
2025-03-19,2025,3,19,2,7.4,-0.9,1.0,14.5
2025-03-20,2025,3,20,3,11.1,0.0,0.0,12.7
2025-03-21,2025,3,21,4,13.5,1.1,0.0,10.1
2025-03-22,2025,3,22,5,14.3,0.5,0.0,11.8
2025-03-23,2025,3,23,6,12.1,4.2,0.3,22.4
2025-03-24,2025,3,24,0,10.9,4.9,4.3,29.5
2025-03-25,2025,3,25,1,12.4,6.5,10.9,14.5
2025-03-26,2025,3,26,2,9.7,4.1,0.0,11.1
2025-03-27,2025,3,27,3,13.9,2.4,0.0,10.1
2025-03-28,2025,3,28,4,11.8,4.6,0.0,11.0
2025-03-29,2025,3,29,5,14.4,3.5,0.0,16.3
2025-03-30,2025,3,30,6,14.2,4.6,1.4,15.8
2025-03-31,2025,3,31,0,12.6,7.8,1.3,10.3
2025-04-01,2025,4,1,1,9.3,7.7,14.9,14.4
2025-04-02,2025,4,2,2,9.5,7.1,10.9,20.3
2025-04-03,2025,4,3,3,15.3,5.7,0.3,15.4
2025-04-04,2025,4,4,4,19.0,5.9,0.0,12.1
2025-04-05,2025,4,5,5,13.9,4.2,1.2,15.9
