date,year,month,day,weekday,temp_max,temp_min,precipitation,wind_max
2022-01-01,2022,1,1,5,5.3,1.8,4.1,25.9
2022-01-02,2022,1,2,6,2.3,-4.3,0.9,28.8
2022-01-03,2022,1,3,0,6.3,-0.4,5.4,28.8
2022-01-04,2022,1,4,1,5.8,2.0,0.4,20.0
2022-01-05,2022,1,5,2,8.5,2.5,4.3,26.5
2022-01-06,2022,1,6,3,3.1,0.6,0.6,18.2
2022-01-07,2022,1,7,4,0.8,-4.5,0.7,22.1
2022-01-08,2022,1,8,5,0.2,-6.1,0.0,19.1
2022-01-09,2022,1,9,6,-0.1,-3.3,6.7,17.1
2022-01-10,2022,1,10,0,-0.5,-6.0,0.8,17.4
2022-01-11,2022,1,11,1,-3.7,-9.5,0.8,19.8
2022-01-12,2022,1,12,2,-10.2,-13.7,0.6,18.9
2022-01-13,2022,1,13,3,0.4,-15.1,1.1,23.3
2022-01-14,2022,1,14,4,3.5,-0.8,2.5,36.0
2022-01-15,2022,1,15,5,1.8,-1.5,0.8,34.5
2022-01-16,2022,1,16,6,0.4,-2.8,0.0,23.7
2022-01-17,2022,1,17,0,1.9,-2.9,3.0,29.0
2022-01-18,2022,1,18,1,-1.0,-4.4,1.1,35.2
2022-01-19,2022,1,19,2,0.1,-6.8,0.0,23.2
2022-01-20,2022,1,20,3,2.0,-2.5,0.6,19.7
2022-01-21,2022,1,21,4,-1.0,-4.0,0.9,38.5
2022-01-22,2022,1,22,5,-0.7,-5.1,1.5,22.5
2022-01-23,2022,1,23,6,-2.7,-5.2,2.3,18.1
2022-01-24,2022,1,24,0,-5.3,-7.5,0.0,21.3
2022-01-25,2022,1,25,1,-4.8,-7.9,0.7,16.2
2022-01-26,2022,1,26,2,-1.7,-4.8,2.0,18.4
2022-01-27,2022,1,27,3,0.2,-8.2,1.5,14.7
2022-01-28,2022,1,28,4,2.9,-0.4,2.5,19.5
2022-01-29,2022,1,29,5,0.8,-2.1,1.8,23.8
2022-01-30,2022,1,30,6,3.6,-4.3,5.3,29.5
2022-01-31,2022,1,31,0,0.6,-1.8,3.3,29.8
2022-02-01,2022,2,1,1,-0.8,-5.9,0.0,19.5
2022-02-02,2022,2,2,2,2.5,-6.1,0.0,26.4
2022-02-03,2022,2,3,3,1.4,-5.4,1.2,25.4
2022-02-04,2022,2,4,4,-1.8,-8.5,0.0,18.9
2022-02-05,2022,2,5,5,1.1,-8.5,1.0,20.9
2022-02-06,2022,2,6,6,3.7,-2.3,0.2,22.1
